character,expression,normalized_expression,type,count,contexts,timestamps,confidence,source_bv
UNKNOWN,子觉,子觉,phrase_2char,3,"[""祥子觉得这种态度比正面挑鲜更让人生气。直到"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜样。""]","[""00:01:39.000"", ""00:01:40.000"", ""00:01:41.000""]",low,BV1SZJP6mEjy
UNKNOWN,学习,学习,phrase_2char,3,"[""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什么时候开始，祥子就在学习成绩上和爱音暗中较劲"", ""没有人知道她这次期中考试突然考进前五，是因为爱音之前随口说了一句考进前五的人可以和她去参加同一个学习竞赛。"", ""因为什么叫家长？学习成绩""]","[""00:01:27.000"", ""00:03:32.000"", ""00:05:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,学周,学周,phrase_2char,3,"[""绘里坐在哭得稀里哗啦的同学周围，全程面无表"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持"", ""绘里坐在哭得稀里哗啦的同学周围，全程面无表情。她的脸上什么都看不出来，因为她和爱音一直保持着不咸不淡的关系。""]","[""00:03:12.000"", ""00:03:13.000"", ""00:03:15.000""]",low,BV1SZJP6mEjy
UNKNOWN,学生,学生,phrase_2char,3,"[""于是周二早上，全校都笼罩在一种沉痛的气氛里。羽丘的学生们纷纷为这名少女哀倬。"", ""校门口的追会是校学生会自发紧急组织的"", ""校门口的追倬会是校学生会自发紧急组织的灯作为爱音的朋友被推上来发言，尽管她表现得很紧张，但还""]","[""00:00:29.000"", ""00:00:33.000"", ""00:00:34.000""]",low,BV1SZJP6mEjy
UNKNOWN,它刚,它刚,phrase_2char,3,"[""素世不过爱音，只好让她接着去捡。爱音蹲下身，伸手去够那个硬币，它刚好滚到了池沿内侧一条"", ""素世不过爱音，只好让她接着去捡。爱音蹲下身，伸手去够那个硬币，它刚好滚到了池沿内侧一条窄缝里，非常不好拿。""]","[""00:07:38.000"", ""00:07:39.000"", ""00:07:40.000""]",low,BV1SZJP6mEjy
UNKNOWN,实什,实什,phrase_2char,3,"[""祥子被问得很烦，因为爱音确实什么都没说。其奔跑所产生的动能冲击甚至不"", ""祥子被问得很烦，因为爱音确实什么都没说。其奔跑所产生的动能冲击甚至不像来自一个会病死的人。"", ""祥子被问得很烦，因为爱音确实什么都没说其奔跑所产生的动能冲击甚至不像来自一个会病死的人。""]","[""00:02:04.000"", ""00:02:05.000"", ""00:02:09.000""]",low,BV1SZJP6mEjy
UNKNOWN,导主,导主,phrase_2char,3,"[""这次真的不行，教导主任我"", ""这次真的不行，教导主任我带家长来见她"", ""刚骗完教导主任的人不准说这话，我要投币，今天运气太好""]","[""00:05:23.000"", ""00:05:24.000"", ""00:07:14.000""]",low,BV1SZJP6mEjy
UNKNOWN,少五,少五,phrase_2char,3,"[""就是这么一件事，祥子在追悼会之前被至少五个人问过，在爱音走之副"", ""就是这么一件事，祥子在追会之前被至少五个人问过，在爱音走之前有没有看到什么异常。""]","[""00:01:58.000"", ""00:01:59.000"", ""00:02:00.000""]",low,BV1SZJP6mEjy
UNKNOWN,少女,少女,phrase_2char,3,"[""于是周二早上，全校都笼罩在一种沉痛的气氛里。羽丘的学生们纷纷为这名少女哀倬。"", ""现场伴随着演讲和抽泣声正常进行。在现场一个僻静冷清的角落里，一名少女毫不起眼"", ""现场伴随着演讲和抽泣声正常进行。在现场一个僻静冷清的角落里，一名少女毫不起眼地坐在末排座位上。""]","[""00:00:29.000"", ""00:03:07.000"", ""00:03:08.000""]",low,BV1SZJP6mEjy
UNKNOWN,尚且,尚且,phrase_2char,3,"[""在尚且还没有熄灭"", ""在尚且还没有熄灭的屏幕上发来爱音妈的一条消息：我和你爸出去旅游，下个月之前"", ""在尚且还没有熄灭的屏幕上发来爱音妈的一条消息：我和你爸出去旅游，下个月之前电话打不通哦。”随即屏幕就熄灭了。""]","[""00:08:15.000"", ""00:08:16.000"", ""00:08:17.000""]",low,BV1SZJP6mEjy
UNKNOWN,就要,就要,phrase_2char,3,"[""如果爱音考了全校第二名，那么祥子就要考第"", ""如果爱音考了全校第二名，那么祥子就要考第一名。但不管祥子怎么努力，爱音似乎从采没有把她当成对手"", ""如果爱音考了全校第二名，那么祥子就要考第一名。但不管祥子怎么努力，爱音似乎从来没有把她当成对手，每次碰面都是笑嘻嘻的，甚至会夸她钢琴弹得好好听。""]","[""00:01:32.000"", ""00:01:33.000"", ""00:01:34.000""]",low,BV1SZJP6mEjy
UNKNOWN,尽管,尽管,phrase_2char,3,"[""校门口的追倬会是校学生会自发紧急组织的灯作为爱音的朋友被推上来发言，尽管她表现得很紧张，但还"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什。"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什么时候开始，祥子就在学习成绩上和爱音暗中较劲""]","[""00:00:34.000"", ""00:01:26.000"", ""00:01:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,屏幕,屏幕,phrase_2char,3,"[""在尚且还没有熄灭的屏幕上发来爱音妈的一条消息：我和你爸出去旅游，下个月之前"", ""在尚且还没有熄灭的屏幕上发来爱音妈的一条消息：我和你爸出去旅游，下个月之前电话打不通哦。”随即屏幕就熄灭了。""]","[""00:08:16.000"", ""00:08:17.000"", ""00:08:17.000""]",low,BV1SZJP6mEjy
UNKNOWN,属于,属于,phrase_2char,3,"[""现在这包围巾还在绘里怀里抱着。周围有很多人在哭，可绘里表现得很平静，眼泪是属于她们的，绘里已经什么都没有了。"", ""现在这包围币还在绘里怀里抱着。周围有很多人在哭，可绘里表现得很平静，眼泪是属于她们的，绘里已经什么都没有了。""]","[""00:03:42.000"", ""00:03:45.000"", ""00:03:47.000""]",low,BV1SZJP6mEjy
UNKNOWN,己在,己在,phrase_2char,3,"[""祥子一直把爱音当做自己在学"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什。"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什么时候开始，祥子就在学习成绩上和爱音暗中较劲""]","[""00:01:25.000"", ""00:01:26.000"", ""00:01:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,巾还,巾还,phrase_2char,3,"[""现在这包围巾还在绘里怀里抱着。周围有很多人在哭，可绘里表现得很平静，眼"", ""现在这包围巾还在绘里怀里抱着。周围有很多人在哭，可绘里表现得很平静，眼泪是属于她们的，绘里已经什么都没有了。""]","[""00:03:41.000"", ""00:03:42.000"", ""00:03:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,度比,度比,phrase_2char,3,"[""祥子觉得这种态度比正面挑鲜更让人生气。直到"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜"", ""祥子觉得这种态度比正面挑鲜更让人生气。直到爱音离世时，祥子才意识到对方已经变成了用来提醒自己的榜样。""]","[""00:01:39.000"", ""00:01:40.000"", ""00:01:41.000""]",low,BV1SZJP6mEjy
UNKNOWN,开的,开的,phrase_2char,3,"[""消息是周一晚上传开的，某个同学在班级群里发了一条"", ""消息是周一晚上传开的，某个同学在班级群里发了一条“爱音出事了”，后面跟了一串哭泣的表情包。"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然离开的""]","[""00:00:19.000"", ""00:00:20.000"", ""00:00:25.000""]",low,BV1SZJP6mEjy
UNKNOWN,当做,当做,phrase_2char,3,"[""祥子一直把爱音当做自己在学"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什。"", ""祥子一直把爱音当做自己在学校的宿敌，尽管爱音本人并没有意识到这一点。不过不知从什么时候开始，祥子就在学习成绩上和爱音暗中较劲""]","[""00:01:25.000"", ""00:01:26.000"", ""00:01:27.000""]",low,BV1SZJP6mEjy
UNKNOWN,往后,往后,phrase_2char,3,"[""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚"", ""素世往后拽了一下，爱音的另一只手撑在池沿上借力。但两人都忘了刚刚这个地方就是爱音滑倒的地方。""]","[""00:08:43.000"", ""00:08:44.000"", ""00:08:45.000""]",low,BV1SZJP6mEjy
UNKNOWN,得到,得到,phrase_2char,3,"[""等班主任去问的时候，得到的说法是爱"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然"", ""等班主任去问的时候，得到的说法是爱音突然病逝了。因为上周五的爱音就是请了病假才突然离开的""]","[""00:00:23.000"", ""00:00:24.000"", ""00:00:25.000""]",low,BV1SZJP6mEjy
